;brand;price
0;Cadeira Gamer Prizi Canvas, Até 120Kg, Com Almofadas, Preta;R$ 459,90
1;Cadeira Gamer Prizi JX-1039B, até 120 kg, com Almofadas na lombar e pescoço, Azul;R$ 459,90
2;Cadeira Gamer Husky Gaming Tempest 700, Preto e Vermelho, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA075;R$ 1.499,99
3;Cadeira Gamer Husky Gaming Tempest 700, Preto, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA074;R$ 1.099,99
4;Cadeira Gamer Prizi PZ1006E, até 120kg, Couro sintético de PU, Ângulo ajustável, Descanso de pé, com Almofadas para Pescoço e Lombar, Azul;R$ 459,90
5;Cadeira Gamer Husky Gaming Tempest 500, Preto, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA078;R$ 939,99
6;Cadeira Gamer Husky Gaming Tempest 700, Cinza Claro, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA076;R$ 1.099,99
7;Cadeira Gamer ThunderX3 TGC12, Até 120kg, com Almofadas, Reclinável, Preto;R$ 1.189,99
8;Cadeira Gamer Husky Gaming Tempest 700, Branco,  Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA077;R$ 1.099,99
9;Cadeira Gamer Prizi, Amarela, Com Almofadas - JX-1039Y;R$ 459,90
10;Cadeira Gamer Husky Gaming Tempest 500, Preto e Branco, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA082;R$ 979,99
11;Cadeira Gamer Mx5 Giratória Branco E Azul Marinho - Mymax;R$ 679,15
12;Cadeira Gamer Mymax Mx5 ,Peso Suportado até 150Kg, Giratória, Preto;R$ 679,15
13;Cadeira Gamer Prizi Escritório, Infinity - Branca;R$ 369,90
14;Cadeira Gamer Raven X-10, Até 150kg, com Almofadas, Descanso  de Braço 2D, Preto - CDRVX10TP;R$ 799,99
15;Cadeira Gamer Husky Gaming Storm, Preto, Com Almofadas, Reclinável, Descanso de Braço 2D - HST-BK;R$ 829,99
16;Cadeira Gamer Prizi Runner, 180Kg, Giratória, Azul;R$ 338,90
17;Cadeira Gamer Prizi Pz1006e, até 120 Kg, Ângulo ajustável do encosto, Vermelha;R$ 459,90
18;Cadeira Gamer Mymax Mx5, Peso Suportado até 150Kg, Giratória, Preto e Azul;R$ 679,15
19;Cadeira Gamer MX6, Giratória, Azul e Preto, Mymax;R$ 594,15
20;Cadeira Gamer Alpha Gamer Vega, Preto, Reclinável, com Almofadas, Cilindro de Gás Classe 4;R$ 1.179,99
21;Cadeira Gamer Husky Gaming Tempest 500, Preto e Azul, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA081;R$ 999,99
22;Cadeira Gamer Alpha Gamer Kappa, Até 150 kg, Apoio de Braço Acolchoado, Cilindro de Gás Classe 4, Preto e Verde - AGKAPPA-BK-GRN;R$ 649,99
23;Cadeira Gamer Corsair T3 Rush, Até 120Kg, Apoio de Braços 4D, com Almofadas, Reclinável, Cinza e Branco - CF-9010030-WW;R$ 1.449,99
24;Cadeira Gamer MyMax, Giratoria, Preto -  MX12;R$ 806,65
25;Cadeira Gamer ThunderX3 TGC12, Preto e Vermelho, Reclinável, com Almofadas, Cilindro de Gás Classe 4;R$ 1.099,99
26;Cadeira Gamer Husky Gaming Tempest 500 Black e Purple, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - Special Edition;R$ 999,99
27;Cadeira Gamer Husky Gaming Hailstorm, Preto, Com Almofadas, Reclinável, Descanso de Braço 2D - HHA-BK;R$ 869,99
28;Cadeira Gamer Prizi Runner, 180KG, Verde;R$ 339,90
29;Cadeira Gamer ThunderX3 BC3 Black - 67991;R$ 1.099,99
